"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女"
"E 製造業_301通信機械器具・同関連機械器具製造業_100人以上","1.0","225.0","136.0","89.0","225.0","136.0","89.0","-","-","-","-","-","-","-","1.0","225.0","136.0","89.0","225.0","136.0","89.0","1.0","225.0","136.0","89.0","225.0","136.0","89.0"
"E 製造業_301通信機械器具・同関連機械器具製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_301通信機械器具・同関連機械器具製造業_(再掲)5人以下","1.0","2.0","1.0","1.0","1.0","-","1.0","-","-","-","-","-","-","-","1.0","2.0","1.0","1.0","1.0","-","1.0","1.0","2.0","1.0","1.0","1.0","-","1.0"
"E 製造業_301通信機械器具・同関連機械器具製造業_(再掲)20人以下","4.0","35.0","18.0","17.0","30.0","15.0","15.0","-","-","-","-","-","-","-","4.0","35.0","18.0","17.0","30.0","15.0","15.0","4.0","35.0","18.0","17.0","30.0","15.0","15.0"
"E 製造業_302映像・音響機械器具製造業","1.0","3.0","2.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-","1.0","3.0","2.0","1.0","1.0","1.0","-","1.0","3.0","2.0","1.0","1.0","1.0","-"
"E 製造業_302映像・音響機械器具製造業_1～4人","1.0","3.0","2.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-","1.0","3.0","2.0","1.0","1.0","1.0","-","1.0","3.0","2.0","1.0","1.0","1.0","-"
"E 製造業_302映像・音響機械器具製造業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_302映像・音響機械器具製造業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_302映像・音響機械器具製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_302映像・音響機械器具製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_302映像・音響機械器具製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_302映像・音響機械器具製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_302映像・音響機械器具製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_302映像・音響機械器具製造業_(再掲)5人以下","1.0","3.0","2.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-","1.0","3.0","2.0","1.0","1.0","1.0","-","1.0","3.0","2.0","1.0","1.0","1.0","-"
"E 製造業_302映像・音響機械器具製造業_(再掲)20人以下","1.0","3.0","2.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-","1.0","3.0","2.0","1.0","1.0","1.0","-","1.0","3.0","2.0","1.0","1.0","1.0","-"
"E 製造業_303電子計算機・同附属装置製造業","2.0","8.0","6.0","2.0","6.0","5.0","1.0","-","-","-","-","-","-","-","2.0","8.0","6.0","2.0","6.0","5.0","1.0","2.0","8.0","6.0","2.0","6.0","5.0","1.0"
"E 製造業_303電子計算機・同附属装置製造業_1～4人","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","1.0","2.0","1.0","1.0","-","-","-","1.0","2.0","1.0","1.0","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_5～9人","1.0","6.0","5.0","1.0","6.0","5.0","1.0","-","-","-","-","-","-","-","1.0","6.0","5.0","1.0","6.0","5.0","1.0","1.0","6.0","5.0","1.0","6.0","5.0","1.0"
"E 製造業_303電子計算機・同附属装置製造業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_(再掲)5人以下","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","1.0","2.0","1.0","1.0","-","-","-","1.0","2.0","1.0","1.0","-","-","-"
"E 製造業_303電子計算機・同附属装置製造業_(再掲)20人以下","2.0","8.0","6.0","2.0","6.0","5.0","1.0","-","-","-","-","-","-","-","2.0","8.0","6.0","2.0","6.0","5.0","1.0","2.0","8.0","6.0","2.0","6.0","5.0","1.0"
"E 製造業_31輸送用機械器具製造業","84.0","1061.0","837.0","224.0","910.0","717.0","193.0","41.0","97.0","65.0","32.0","40.0","20.0","20.0","43.0","964.0","772.0","192.0","870.0","697.0","173.0","43.0","964.0","772.0","192.0","870.0","697.0","173.0"
"E 製造業_31輸送用機械器具製造業_1～4人","50.0","101.0","76.0","25.0","34.0","24.0","10.0","39.0","79.0","59.0","20.0","24.0","16.0","8.0","11.0","22.0","17.0","5.0","10.0","8.0","2.0","11.0","22.0","17.0","5.0","10.0","8.0","2.0"
"E 製造業_31輸送用機械器具製造業_5～9人","11.0","69.0","55.0","14.0","52.0","41.0","11.0","1.0","5.0","4.0","1.0","4.0","3.0","1.0","10.0","64.0","51.0","13.0","48.0","38.0","10.0","10.0","64.0","51.0","13.0","48.0","38.0","10.0"
"E 製造業_31輸送用機械器具製造業_10～19人","12.0","182.0","143.0","39.0","142.0","110.0","32.0","1.0","13.0","2.0","11.0","12.0","1.0","11.0","11.0","169.0","141.0","28.0","130.0","109.0","21.0","11.0","169.0","141.0","28.0","130.0","109.0","21.0"
"E 製造業_31輸送用機械器具製造業_20～29人","1.0","27.0","19.0","8.0","25.0","18.0","7.0","-","-","-","-","-","-","-","1.0","27.0","19.0","8.0","25.0","18.0","7.0","1.0","27.0","19.0","8.0","25.0","18.0","7.0"
"E 製造業_31輸送用機械器具製造業_30～49人","5.0","183.0","150.0","33.0","170.0","141.0","29.0","-","-","-","-","-","-","-","5.0","183.0","150.0","33.0","170.0","141.0","29.0","5.0","183.0","150.0","33.0","170.0","141.0","29.0"
"E 製造業_31輸送用機械器具製造業_50～99人","1.0","56.0","25.0","31.0","55.0","24.0","31.0","-","-","-","-","-","-","-","1.0","56.0","25.0","31.0","55.0","24.0","31.0","1.0","56.0","25.0","31.0","55.0","24.0","31.0"
"E 製造業_31輸送用機械器具製造業_100人以上","3.0","443.0","369.0","74.0","432.0","359.0","73.0","-","-","-","-","-","-","-","3.0","443.0","369.0","74.0","432.0","359.0","73.0","3.0","443.0","369.0","74.0","432.0","359.0","73.0"
"E 製造業_31輸送用機械器具製造業_出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-"
"E 製造業_31輸送用機械器具製造業_(再掲)5人以下","55.0","126.0","97.0","29.0","52.0","38.0","14.0","40.0","84.0","63.0","21.0","28.0","19.0","9.0","15.0","42.0","34.0","8.0","24.0","19.0","5.0","15.0","42.0","34.0","8.0","24.0","19.0","5.0"
"E 製造業_31輸送用機械器具製造業_(再掲)20人以下","73.0","352.0","274.0","78.0","228.0","175.0","53.0","41.0","97.0","65.0","32.0","40.0","20.0","20.0","32.0","255.0","209.0","46.0","188.0","155.0","33.0","32.0","255.0","209.0","46.0","188.0","155.0","33.0"
"E 製造業_310管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_310管理，補助的経済活動を行う事業所_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_311自動車・同附属品製造業","25.0","552.0","407.0","145.0","505.0","376.0","129.0","10.0","22.0","15.0","7.0","8.0","6.0","2.0","15.0","530.0","392.0","138.0","497.0","370.0","127.0","15.0","530.0","392.0","138.0","497.0","370.0","127.0"
"E 製造業_311自動車・同附属品製造業_1～4人","11.0","25.0","16.0","9.0","8.0","6.0","2.0","10.0","22.0","15.0","7.0","8.0","6.0","2.0","1.0","3.0","1.0","2.0","-","-","-","1.0","3.0","1.0","2.0","-","-","-"
"E 製造業_311自動車・同附属品製造業_5～9人","3.0","20.0","11.0","9.0","14.0","7.0","7.0","-","-","-","-","-","-","-","3.0","20.0","11.0","9.0","14.0","7.0","7.0","3.0","20.0","11.0","9.0","14.0","7.0","7.0"
"E 製造業_311自動車・同附属品製造業_10～19人","2.0","30.0","18.0","12.0","27.0","17.0","10.0","-","-","-","-","-","-","-","2.0","30.0","18.0","12.0","27.0","17.0","10.0","2.0","30.0","18.0","12.0","27.0","17.0","10.0"
"E 製造業_311自動車・同附属品製造業_20～29人","1.0","27.0","19.0","8.0","25.0","18.0","7.0","-","-","-","-","-","-","-","1.0","27.0","19.0","8.0","25.0","18.0","7.0","1.0","27.0","19.0","8.0","25.0","18.0","7.0"
"E 製造業_311自動車・同附属品製造業_30～49人","4.0","150.0","122.0","28.0","140.0","115.0","25.0","-","-","-","-","-","-","-","4.0","150.0","122.0","28.0","140.0","115.0","25.0","4.0","150.0","122.0","28.0","140.0","115.0","25.0"
"E 製造業_311自動車・同附属品製造業_50～99人","1.0","56.0","25.0","31.0","55.0","24.0","31.0","-","-","-","-","-","-","-","1.0","56.0","25.0","31.0","55.0","24.0","31.0","1.0","56.0","25.0","31.0","55.0","24.0","31.0"
"E 製造業_311自動車・同附属品製造業_100人以上","2.0","244.0","196.0","48.0","236.0","189.0","47.0","-","-","-","-","-","-","-","2.0","244.0","196.0","48.0","236.0","189.0","47.0","2.0","244.0","196.0","48.0","236.0","189.0","47.0"
"E 製造業_311自動車・同附属品製造業_出向・派遣従業者のみ","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","-","-","-","-","-","-","1.0","-","-","-","-","-","-"
"E 製造業_311自動車・同附属品製造業_(再掲)5人以下","11.0","25.0","16.0","9.0","8.0","6.0","2.0","10.0","22.0","15.0","7.0","8.0","6.0","2.0","1.0","3.0","1.0","2.0","-","-","-","1.0","3.0","1.0","2.0","-","-","-"
"E 製造業_311自動車・同附属品製造業_(再掲)20人以下","16.0","75.0","45.0","30.0","49.0","30.0","19.0","10.0","22.0","15.0","7.0","8.0","6.0","2.0","6.0","53.0","30.0","23.0","41.0","24.0","17.0","6.0","53.0","30.0","23.0","41.0","24.0","17.0"
"E 製造業_312鉄道車両・同部分品製造業","1.0","10.0","9.0","1.0","8.0","7.0","1.0","-","-","-","-","-","-","-","1.0","10.0","9.0","1.0","8.0","7.0","1.0","1.0","10.0","9.0","1.0","8.0","7.0","1.0"
"E 製造業_312鉄道車両・同部分品製造業_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_10～19人","1.0","10.0","9.0","1.0","8.0","7.0","1.0","-","-","-","-","-","-","-","1.0","10.0","9.0","1.0","8.0","7.0","1.0","1.0","10.0","9.0","1.0","8.0","7.0","1.0"
"E 製造業_312鉄道車両・同部分品製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_312鉄道車両・同部分品製造業_(再掲)20人以下","1.0","10.0","9.0","1.0","8.0","7.0","1.0","-","-","-","-","-","-","-","1.0","10.0","9.0","1.0","8.0","7.0","1.0","1.0","10.0","9.0","1.0","8.0","7.0","1.0"
"E 製造業_313船舶製造・修理業，舶用機関製造業","50.0","441.0","380.0","61.0","349.0","302.0","47.0","25.0","51.0","38.0","13.0","14.0","8.0","6.0","25.0","390.0","342.0","48.0","335.0","294.0","41.0","25.0","390.0","342.0","48.0","335.0","294.0","41.0"
"E 製造業_313船舶製造・修理業，舶用機関製造業_1～4人","33.0","64.0","49.0","15.0","20.0","13.0","7.0","24.0","46.0","34.0","12.0","10.0","5.0","5.0","9.0","18.0","15.0","3.0","10.0","8.0","2.0","9.0","18.0","15.0","3.0","10.0","8.0","2.0"
"E 製造業_313船舶製造・修理業，舶用機関製造業_5～9人","8.0","49.0","44.0","5.0","38.0","34.0","4.0","1.0","5.0","4.0","1.0","4.0","3.0","1.0","7.0","44.0","40.0","4.0","34.0","31.0","3.0","7.0","44.0","40.0","4.0","34.0","31.0","3.0"
"E 製造業_313船舶製造・修理業，舶用機関製造業_10～19人","8.0","129.0","114.0","15.0","95.0","85.0","10.0","-","-","-","-","-","-","-","8.0","129.0","114.0","15.0","95.0","85.0","10.0","8.0","129.0","114.0","15.0","95.0","85.0","10.0"
"E 製造業_313船舶製造・修理業，舶用機関製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_313船舶製造・修理業，舶用機関製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_313船舶製造・修理業，舶用機関製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_313船舶製造・修理業，舶用機関製造業_100人以上","1.0","199.0","173.0","26.0","196.0","170.0","26.0","-","-","-","-","-","-","-","1.0","199.0","173.0","26.0","196.0","170.0","26.0","1.0","199.0","173.0","26.0","196.0","170.0","26.0"
"E 製造業_313船舶製造・修理業，舶用機関製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_313船舶製造・修理業，舶用機関製造業_(再掲)5人以下","38.0","89.0","70.0","19.0","38.0","27.0","11.0","25.0","51.0","38.0","13.0","14.0","8.0","6.0","13.0","38.0","32.0","6.0","24.0","19.0","5.0","13.0","38.0","32.0","6.0","24.0","19.0","5.0"
"E 製造業_313船舶製造・修理業，舶用機関製造業_(再掲)20人以下","49.0","242.0","207.0","35.0","153.0","132.0","21.0","25.0","51.0","38.0","13.0","14.0","8.0","6.0","24.0","191.0","169.0","22.0","139.0","124.0","15.0","24.0","191.0","169.0","22.0","139.0","124.0","15.0"
"E 製造業_314航空機・同附属品製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_314航空機・同附属品製造業_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_315産業用運搬車両・同部分品・附属品製造業_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業","8.0","58.0","41.0","17.0","48.0","32.0","16.0","6.0","24.0","12.0","12.0","18.0","6.0","12.0","2.0","34.0","29.0","5.0","30.0","26.0","4.0","2.0","34.0","29.0","5.0","30.0","26.0","4.0"
"E 製造業_319その他の輸送用機械器具製造業_1～4人","6.0","12.0","11.0","1.0","6.0","5.0","1.0","5.0","11.0","10.0","1.0","6.0","5.0","1.0","1.0","1.0","1.0","-","-","-","-","1.0","1.0","1.0","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_10～19人","1.0","13.0","2.0","11.0","12.0","1.0","11.0","1.0","13.0","2.0","11.0","12.0","1.0","11.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_30～49人","1.0","33.0","28.0","5.0","30.0","26.0","4.0","-","-","-","-","-","-","-","1.0","33.0","28.0","5.0","30.0","26.0","4.0","1.0","33.0","28.0","5.0","30.0","26.0","4.0"
"E 製造業_319その他の輸送用機械器具製造業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_(再掲)5人以下","6.0","12.0","11.0","1.0","6.0","5.0","1.0","5.0","11.0","10.0","1.0","6.0","5.0","1.0","1.0","1.0","1.0","-","-","-","-","1.0","1.0","1.0","-","-","-","-"
"E 製造業_319その他の輸送用機械器具製造業_(再掲)20人以下","7.0","25.0","13.0","12.0","18.0","6.0","12.0","6.0","24.0","12.0","12.0","18.0","6.0","12.0","1.0","1.0","1.0","-","-","-","-","1.0","1.0","1.0","-","-","-","-"
"E 製造業_32その他の製造業","352.0","2260.0","1300.0","960.0","1700.0","908.0","792.0","216.0","550.0","345.0","205.0","242.0","117.0","125.0","136.0","1710.0","955.0","755.0","1458.0","791.0","667.0","130.0","1621.0","889.0","732.0","1373.0","728.0","645.0"
"E 製造業_32その他の製造業_1～4人","243.0","506.0","334.0","172.0","183.0","92.0","91.0","192.0","374.0","254.0","120.0","116.0","59.0","57.0","51.0","132.0","80.0","52.0","67.0","33.0","34.0","47.0","123.0","75.0","48.0","60.0","29.0","31.0"
"E 製造業_32その他の製造業_5～9人","54.0","367.0","201.0","166.0","253.0","127.0","126.0","21.0","140.0","73.0","67.0","95.0","44.0","51.0","33.0","227.0","128.0","99.0","158.0","83.0","75.0","32.0","221.0","124.0","97.0","154.0","81.0","73.0"
"E 製造業_32その他の製造業_10～19人","34.0","431.0","208.0","223.0","360.0","170.0","190.0","3.0","36.0","18.0","18.0","31.0","14.0","17.0","31.0","395.0","190.0","205.0","329.0","156.0","173.0","31.0","395.0","190.0","205.0","329.0","156.0","173.0"
"E 製造業_32その他の製造業_20～29人","10.0","236.0","133.0","103.0","215.0","117.0","98.0","-","-","-","-","-","-","-","10.0","236.0","133.0","103.0","215.0","117.0","98.0","10.0","236.0","133.0","103.0","215.0","117.0","98.0"
"E 製造業_32その他の製造業_30～49人","4.0","148.0","72.0","76.0","142.0","66.0","76.0","-","-","-","-","-","-","-","4.0","148.0","72.0","76.0","142.0","66.0","76.0","4.0","148.0","72.0","76.0","142.0","66.0","76.0"
"E 製造業_32その他の製造業_50～99人","5.0","356.0","222.0","134.0","343.0","214.0","129.0","-","-","-","-","-","-","-","5.0","356.0","222.0","134.0","343.0","214.0","129.0","4.0","282.0","165.0","117.0","269.0","157.0","112.0"
"E 製造業_32その他の製造業_100人以上","2.0","216.0","130.0","86.0","204.0","122.0","82.0","-","-","-","-","-","-","-","2.0","216.0","130.0","86.0","204.0","122.0","82.0","2.0","216.0","130.0","86.0","204.0","122.0","82.0"
"E 製造業_32その他の製造業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"E 製造業_32その他の製造業_(再掲)5人以下","256.0","571.0","376.0","195.0","223.0","114.0","109.0","199.0","409.0","279.0","130.0","140.0","73.0","67.0","57.0","162.0","97.0","65.0","83.0","41.0","42.0","53.0","153.0","92.0","61.0","76.0","37.0","39.0"
"E 製造業_32その他の製造業_(再掲)20人以下","333.0","1344.0","771.0","573.0","832.0","414.0","418.0","216.0","550.0","345.0","205.0","242.0","117.0","125.0","117.0","794.0","426.0","368.0","590.0","297.0","293.0","112.0","779.0","417.0","362.0","579.0","291.0","288.0"
